"Frame","N_Person","Xcenter","Ycenter","PerXmin","PerYmin","PerXmax","PerYmax","N_Handgun","HgXcenter","HgYcenter","HgXmin","HgYmin","HgXmax","HgYmax","Intersection","Included_Center","Intersection_Area","Hg_Area","Distance","Ground_Truth"
"5","0","475.8971252","308.7872925","398.2577591","152.3215179","553.5364914","465.253067","0","402.8989258","191.4227142","382.9286556","175.4488049","422.8691959","207.3966236","Center_left","1","786.2817236","1276.013143","138.2142589","1"
"5","1","337.1096802","306.7809753","273.7713089","155.0478516","400.4480515","458.5140991","0","402.8989258","191.4227142","382.9286556","175.4488049","422.8691959","207.3966236","Up_right","0","559.7064826","1276.013143","132.7996734","0"
"6","0","476.2460022","308.8509521","399.1756973","152.1456909","553.3163071","465.5562134","0","402.9112549","191.45224","382.9540367","175.3204288","422.8684731","207.5840511","Center_left","1","764.4147669","1287.784298","138.4212512","1"
"6","1","337.1651611","306.8485413","273.9700012","155.0177765","400.360321","458.679306","0","402.9112549","191.45224","382.9540367","175.3204288","422.8684731","207.5840511","Up_right","0","561.5897831","1287.784298","132.8113519","0"
"7","0","476.1074829","308.9015198","398.8406677","152.0743866","553.3742981","465.728653","0","402.9281311","191.6082764","383.1573906","175.4653378","422.6988716","207.751215","Center_left","1","770.2830416","1276.631402","138.2494936","1"
"7","1","337.016449","306.858551","273.8776932","155.0289612","400.1552048","458.6881409","0","402.9281311","191.6082764","383.1573906","175.4653378","422.6988716","207.751215","Up_right","0","548.7893417","1276.631402","132.766621","0"
"8","0","472.7149048","308.3799438","390.4741669","153.5773468","554.9556427","463.1825409","0","403.2123718","190.4561005","380.971365","175.0288258","425.4533787","205.8833752","Center_left","1","1079.267819","1372.47249","136.8818283","1"
"8","1","333.7844849","305.917572","272.5839653","154.0887756","394.9850044","457.7463684","0","403.2123718","190.4561005","380.971365","175.0288258","425.4533787","205.8833752","Up_right","0","432.3845308","1372.47249","134.7278104","0"
"9","0","471.6105652","308.081665","388.2448959","153.5792847","554.9762344","462.5840454","0","403.1668091","190.7874756","380.3762379","175.6517572","425.9573803","205.9231939","Center_left","1","1141.611083","1379.806667","135.803073","1"
"9","1","329.2545471","306.1142273","271.9107704","154.7433929","386.5983238","457.4850616","0","403.1668091","190.7874756","380.3762379","175.6517572","425.9573803","205.9231939","Up_right","0","188.351481","1379.806667","136.9791303","0"
"10","0","472.0827026","308.6690063","389.5298538","156.5400543","554.6355515","460.7979584","0","403.3390808","191.4407501","382.1681671","176.3735294","424.5099945","206.5079708","Center_left","1","1054.106999","1275.947315","135.8975702","1"
"10","1","327.7336426","306.0714417","270.8442802","155.5453796","384.6230049","456.5975037","0","403.3390808","191.4407501","382.1681671","176.3735294","424.5099945","206.5079708","Up_right","0","73.97516574","1275.947315","137.3185265","0"
"11","0","471.6872864","308.6233826","388.2142105","157.9169159","555.1603622","459.3298492","0","402.4545288","192.1703339","380.4230099","176.4879837","424.4860477","207.852684","Center_left","1","1137.655305","1382.023978","135.4787337","1"
"11","1","325.4887085","304.8122559","274.9859467","144.8699188","375.9914703","464.7545929","0","402.4545288","192.1703339","380.4230099","176.4879837","424.4860477","207.852684","No_intersection","0","0","1382.023978","136.4255844","0"
"12","0","473.4335327","309.0066223","392.9560547","157.9166718","553.9110107","460.0965729","0","403.0159912","192.2690582","380.4814091","177.5931978","425.5505733","206.9449186","Center_left","1","956.7052117","1322.857527","136.3315408","1"
"12","1","324.0814514","303.9380188","270.6388321","144.4684906","377.5240707","463.407547","0","403.0159912","192.2690582","380.4814091","177.5931978","425.5505733","206.9449186","No_intersection","0","0","1322.857527","136.7502041","0"
"13","0","473.5636292","309.1322937","393.2030716","158.2854614","553.9241867","459.979126","0","403.0391235","192.2249298","380.5751266","177.5440788","425.5031204","206.9057808","Center_left","1","948.3844072","1319.162363","136.5321853","1"
"13","1","323.9572449","303.980896","270.5412979","144.4738922","377.3731918","463.4878998","0","403.0391235","192.2249298","380.5751266","177.5440788","425.5031204","206.9057808","No_intersection","0","0","1319.162363","136.9063165","0"
"14","0","472.5915833","309.3883057","389.5193405","159.2988434","555.663826","459.4777679","0","402.5960083","191.4740143","378.8509789","177.0436182","426.3410378","205.9044104","Center_left","1","1062.703351","1370.60072","137.1246171","1"
